,Grade_x,School Year_x,Date of Test,Pre or Post?,Main Language Used In Exam,EGRA Question 1: Reading Habit,EGRA Last Book Read,Reads With Others,"How Often, ReadsWithOthers",Student Gender,Date,Q1 Rating or Answer,Q2 Rating,Q3 Rating or Answer,Q4 Rating or Answer,Q5 Rating or Answer,Q6 Rating or Answer,Q7 Rating,Q8 Rating,Skill to Improve 1,Skill to Improve 2,Minutes Spent Observing,Minutes Spent Coaching,Total Score,Teacher Number: Gender,Teacher Number: School Years in Teacher Support Program,Teacher Present,Average Students Enrolled,School Year_y
0,4,2019-2020,10/8/19,Pre,English; Ewe,Yes,Yes,1,1,Male,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
1,4,2019-2020,10/10/19,Pre,English; Ewe,Yes,No,1,3,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
2,4,2019-2020,10/10/19,Pre,English; Ewe,Yes,No,1,1,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
3,4,2019-2020,10/7/19,Pre,English,Yes,No,1,1,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
4,4,2019-2020,10/9/19,Pre,English; Ewe,Yes,Yes,0,2,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
5,4,2019-2020,10/8/19,Pre,Ewe,Yes,No,0,2,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
6,4,2019-2020,10/7/19,Pre,Ewe,Yes,Yes,0,2,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
7,4,2019-2020,10/7/19,Pre,English; Ewe,Yes,No,0,2,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
8,4,2019-2020,10/7/19,Pre,Ewe,Yes,Yes,0,2,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
9,4,2019-2020,10/9/19,Pre,English; Ewe,No,Yes,0,2,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
10,4,2019-2020,10/8/19,Pre,English; Ewe,Yes,Yes,1,3,Female,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
11,4,2019-2020,10/8/19,Pre,English; Ewe,Yes,Yes,1,1,Male,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
12,4,2019-2020,10/7/19,Pre,English; Ewe,Yes,Yes,1,2,Male,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
