,EGRA Section 1a Score,EGRA Section 1b Score,EGRA Section 1c Score,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 Letters Correct,EGRA Section 3 Time Completed,EGRA Section 3 LPM,EGRA Section 4 Words Correct,EGRA Section 4 Time Completed,EGRA Section 4: WPM,EGRA Section 5 Words Correct,EGRA Section 5 Time Completed,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 6 Written Words Correct,EGRA Section 6 Correct Space/Direction,EGRA Section 6 Correct Punctuation,EGRA Section 6 Correct Use of Capitals,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score,Grade_x,School Year_x,Date of Test,Pre or Post?,Main Language Used In Exam,EGRA Question 1: Reading Habit,EGRA Last Book Read,Reads With Others,"How Often, ReadsWithOthers",Student Gender,Class Number,Teacher Number: Teacher Number,Date,Q1 Rating or Answer,Q2 Rating,Q3 Rating or Answer,Q4 Rating or Answer,Q5 Rating or Answer,Q6 Rating or Answer,Q7 Rating,Q8 Rating,Skill to Improve 1,Skill to Improve 2,Minutes Spent Observing,Minutes Spent Coaching,Total Score,Teacher Number: Gender,Teacher Number: School Years in Teacher Support Program,Teacher Present,Average Students Enrolled,School Year_y
0,1,1,1,0,3,14,60.0,14.0,45,43.0,63,59,38.0,93,0,0,1,0,0,0,3,1,4,2019-2020,10/8/19,Pre,English; Ewe,Yes,Yes,1,1,Male,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
1,1,1,1,0,0,52,60.0,52.0,23,60.0,23,52,103.0,30,3,0,2,0,0,2,3,2,4,2019-2020,10/10/19,Pre,English; Ewe,Yes,No,1,3,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
2,1,1,1,0,0,28,60.0,28.0,32,60.0,32,58,70.0,50,2,0,1,0,0,3,3,1,4,2019-2020,10/10/19,Pre,English; Ewe,Yes,No,1,1,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
3,1,1,1,12,7,75,60.0,75.0,12,60.0,12,47,117.0,24,6,0,2,0,0,3,3,2,4,2019-2020,10/7/19,Pre,English,Yes,No,1,1,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
4,1,1,1,0,6,26,60.0,26.0,12,60.0,12,51,121.0,25,0,0,1,0,1,2,3,2,4,2019-2020,10/9/19,Pre,English; Ewe,Yes,Yes,0,2,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
5,1,1,1,0,5,22,60.0,22.0,25,60.0,25,60,47.0,77,0,0,2,0,0,0,3,2,4,2019-2020,10/8/19,Pre,Ewe,Yes,No,0,2,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
6,1,1,1,0,7,36,60.0,36.0,0,20.0,0,0,13.0,0,0,0,2,0,1,3,3,3,4,2019-2020,10/7/19,Pre,Ewe,Yes,Yes,0,2,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
7,1,1,1,31,5,82,60.0,82.0,30,60.0,30,54,60.0,54,6,0,2,0,1,4,3,3,4,2019-2020,10/7/19,Pre,English; Ewe,Yes,No,0,2,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
8,1,1,1,14,8,70,60.0,70.0,0,20.0,0,40,180.0,13,3,0,2,0,0,2,3,2,4,2019-2020,10/7/19,Pre,Ewe,Yes,Yes,0,2,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
9,1,1,1,19,7,86,60.0,86.0,44,53.0,50,59,43.0,82,8,2,2,1,1,3,3,6,4,2019-2020,10/9/19,Pre,English; Ewe,No,Yes,0,2,Female,Class-029018,Teacher-02638,2020-02-25 00:00:00,2,2,2,2,2,2,2,2,Preparation,Preparation,25.0,6.0,16,Female,3,Present,19,2019-2020
