,EGRA Section 1a Score,EGRA Section 1b Score,EGRA Section 1c Score,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 Letters Correct,EGRA Section 3 Time Completed,EGRA Section 3 LPM,EGRA Section 4 Words Correct,EGRA Section 4 Time Completed,EGRA Section 4: WPM,EGRA Section 5 Words Correct,EGRA Section 5 Time Completed,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 6 Written Words Correct,EGRA Section 6 Correct Space/Direction,EGRA Section 6 Correct Punctuation,EGRA Section 6 Correct Use of Capitals,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
0,1,1,1,0,3,14,60.0,14.0,45,43.0,63,59,38.0,93,0,0,1,0,0,0,3,1
1,1,1,1,0,0,52,60.0,52.0,23,60.0,23,52,103.0,30,3,0,2,0,0,2,3,2
2,1,1,1,0,0,28,60.0,28.0,32,60.0,32,58,70.0,50,2,0,1,0,0,3,3,1
3,1,1,1,12,7,75,60.0,75.0,12,60.0,12,47,117.0,24,6,0,2,0,0,3,3,2
4,1,1,1,0,6,26,60.0,26.0,12,60.0,12,51,121.0,25,0,0,1,0,1,2,3,2
5,1,1,1,0,5,22,60.0,22.0,25,60.0,25,60,47.0,77,0,0,2,0,0,0,3,2
6,1,1,1,0,7,36,60.0,36.0,0,20.0,0,0,13.0,0,0,0,2,0,1,3,3,3
7,1,1,1,31,5,82,60.0,82.0,30,60.0,30,54,60.0,54,6,0,2,0,1,4,3,3
8,1,1,1,14,8,70,60.0,70.0,0,20.0,0,40,180.0,13,3,0,2,0,0,2,3,2
9,1,1,1,19,7,86,60.0,86.0,44,53.0,50,59,43.0,82,8,2,2,1,1,3,3,6
10,1,1,1,26,9,79,60.0,79.0,21,60.0,21,56,76.0,44,5,2,2,0,0,0,3,4
11,1,1,1,43,4,66,60.0,66.0,22,60.0,22,56,106.0,32,10,2,2,0,0,3,3,4
12,1,1,1,8,6,53,60.0,53.0,14,60.0,14,50,105.0,29,8,3,2,0,1,3,3,6
13,1,1,1,39,9,73,60.0,73.0,46,47.0,59,60,44.0,82,9,4,2,0,1,2,3,7
14,1,1,1,48,9,100,55.0,109.0,50,37.0,81,60,27.0,133,10,4,2,1,1,4,3,8
15,1,1,0,47,9,100,60.0,100.0,49,39.0,75,60,38.0,95,9,4,2,0,1,3,2,7
16,1,1,1,35,8,92,60.0,92.0,45,48.0,56,58,45.0,77,9,3,2,0,1,3,3,6
17,1,1,0,21,9,87,60.0,87.0,40,60.0,40,57,67.0,51,10,1,2,0,0,4,2,3
18,1,0,1,24,8,57,60.0,57.0,43,53.0,49,58,33.0,105,9,4,2,1,1,4,2,8
19,1,1,1,13,8,58,60.0,58.0,41,60.0,41,54,48.0,68,9,3,2,0,1,3,3,6
20,1,1,0,22,6,86,60.0,86.0,49,49.0,60,58,44.0,79,9,4,2,0,1,3,2,7
21,1,1,1,22,5,69,60.0,69.0,29,60.0,29,51,72.0,43,10,1,2,0,1,1,3,4
22,1,1,0,16,10,67,60.0,67.0,29,60.0,29,59,52.0,68,8,3,2,0,1,4,2,6
23,1,1,1,0,6,80,60.0,80.0,16,60.0,16,49,125.0,24,9,0,2,0,1,3,3,3
24,1,1,1,26,4,81,60.0,81.0,42,48.0,53,60,46.0,78,10,4,2,0,1,4,3,7
25,1,1,1,18,1,67,60.0,67.0,37,60.0,37,53,51.0,62,6,2,2,0,0,3,3,4
26,1,1,1,3,7,53,60.0,53.0,7,60.0,7,46,99.0,28,8,4,2,0,1,4,3,7
27,1,1,1,4,6,38,60.0,38.0,2,60.0,2,35,180.0,12,8,1,2,0,1,2,3,4
28,1,0,0,44,8,94,60.0,94.0,49,45.0,65,60,35.0,103,10,4,2,0,1,4,1,7
29,1,1,0,35,8,90,60.0,90.0,43,52.0,50,55,43.0,77,10,1,2,0,1,3,2,4
30,1,0,1,0,5,81,60.0,81.0,33,60.0,33,48,83.0,35,6,4,2,0,1,3,2,7
31,1,1,1,0,2,59,60.0,59.0,11,60.0,11,41,125.0,20,5,1,2,0,0,3,3,3
32,1,1,0,45,9,79,60.0,79.0,47,35.0,81,59,25.0,142,9,4,2,0,1,4,2,7
33,1,1,1,48,9,100,55.0,109.0,48,29.0,99,59,34.0,104,8,3,2,0,1,4,3,6
34,1,1,1,21,8,74,60.0,74.0,43,53.0,49,59,57.0,62,10,2,2,0,1,3,3,5
35,1,1,0,0,4,71,60.0,71.0,37,60.0,37,58,79.0,44,8,2,2,0,0,1,2,4
36,1,1,1,25,9,71,60.0,71.0,45,55.0,49,58,57.0,61,7,1,2,0,1,2,3,4
37,1,1,1,25,9,73,60.0,73.0,39,60.0,39,55,85.0,39,8,2,2,0,1,4,3,5
38,1,1,1,17,10,71,60.0,71.0,40,60.0,40,59,56.0,63,9,1,2,0,1,4,3,4
39,1,1,1,3,3,68,60.0,68.0,27,60.0,27,52,85.0,37,10,1,2,0,1,1,3,4
40,1,1,1,20,6,56,60.0,56.0,12,60.0,12,48,105.0,27,6,3,2,0,0,4,3,5
41,1,1,1,20,6,56,60.0,56.0,12,60.0,12,48,105.0,27,6,3,2,0,0,4,3,5
42,1,1,1,14,0,36,60.0,36.0,13,60.0,13,48,168.0,17,4,0,1,0,0,2,3,1
43,1,1,1,14,0,36,60.0,36.0,13,60.0,13,48,168.0,17,4,0,1,0,0,2,3,1
44,1,0,0,10,3,40,60.0,40.0,7,60.0,7,40,173.0,14,1,1,2,0,0,4,1,3
45,1,0,0,10,3,40,60.0,40.0,7,60.0,7,40,173.0,14,1,1,2,0,0,4,1,3
46,1,1,1,2,6,24,60.0,24.0,11,60.0,11,33,180.0,11,4,0,1,0,0,1,3,1
47,1,1,1,2,6,24,60.0,24.0,11,60.0,11,33,180.0,11,4,0,1,0,0,1,3,1
48,1,1,0,18,8,52,60.0,52.0,13,60.0,13,50,60.0,50,7,2,2,0,0,4,2,4
49,1,1,0,18,8,52,60.0,52.0,13,60.0,13,50,60.0,50,7,2,2,0,0,4,2,4
50,1,1,1,15,6,41,60.0,41.0,14,60.0,14,44,81.0,33,8,1,2,0,0,1,3,3
