,EGRA Section 2a Score,EGRA Section 2b Score,EGRA Section 3 LPM,EGRA Section 4: WPM,EGRA Section 5 CWPM,EGRA Section 5 Questions Correct,EGRA Section 7a Score,EGRA Section 1 Total Score,EGRA Section 6 Total Score
0,0,3,14.0,63,93,0,0,3,1
1,0,0,52.0,23,30,3,2,3,2
2,0,0,28.0,32,50,2,3,3,1
3,12,7,75.0,12,24,6,3,3,2
4,0,6,26.0,12,25,0,2,3,2
5,0,5,22.0,25,77,0,0,3,2
6,0,7,36.0,0,0,0,3,3,3
7,31,5,82.0,30,54,6,4,3,3
8,14,8,70.0,0,13,3,2,3,2
9,19,7,86.0,50,82,8,3,3,6
10,26,9,79.0,21,44,5,0,3,4
11,43,4,66.0,22,32,10,3,3,4
12,8,6,53.0,14,29,8,3,3,6
13,39,9,73.0,59,82,9,2,3,7
14,48,9,109.0,81,133,10,4,3,8
15,47,9,100.0,75,95,9,3,2,7
16,35,8,92.0,56,77,9,3,3,6
17,21,9,87.0,40,51,10,4,2,3
18,24,8,57.0,49,105,9,4,2,8
19,13,8,58.0,41,68,9,3,3,6
20,22,6,86.0,60,79,9,3,2,7
21,22,5,69.0,29,43,10,1,3,4
22,16,10,67.0,29,68,8,4,2,6
23,0,6,80.0,16,24,9,3,3,3
24,26,4,81.0,53,78,10,4,3,7
25,18,1,67.0,37,62,6,3,3,4
26,3,7,53.0,7,28,8,4,3,7
27,4,6,38.0,2,12,8,2,3,4
28,44,8,94.0,65,103,10,4,1,7
29,35,8,90.0,50,77,10,3,2,4
30,0,5,81.0,33,35,6,3,2,7
31,0,2,59.0,11,20,5,3,3,3
32,45,9,79.0,81,142,9,4,2,7
33,48,9,109.0,99,104,8,4,3,6
34,21,8,74.0,49,62,10,3,3,5
35,0,4,71.0,37,44,8,1,2,4
36,25,9,71.0,49,61,7,2,3,4
37,25,9,73.0,39,39,8,4,3,5
38,17,10,71.0,40,63,9,4,3,4
39,3,3,68.0,27,37,10,1,3,4
40,20,6,56.0,12,27,6,4,3,5
41,20,6,56.0,12,27,6,4,3,5
42,14,0,36.0,13,17,4,2,3,1
43,14,0,36.0,13,17,4,2,3,1
44,10,3,40.0,7,14,1,4,1,3
45,10,3,40.0,7,14,1,4,1,3
46,2,6,24.0,11,11,4,1,3,1
47,2,6,24.0,11,11,4,1,3,1
48,18,8,52.0,13,50,7,4,2,4
49,18,8,52.0,13,50,7,4,2,4
50,15,6,41.0,14,33,8,1,3,3
51,15,6,41.0,14,33,8,1,3,3
52,50,9,85.0,79,103,8,1,3,2
53,50,9,85.0,79,103,8,1,3,2
54,37,9,61.0,47,68,10,4,3,4
55,37,9,61.0,47,68,10,4,3,4
56,27,6,67.0,16,40,4,4,1,3
57,27,6,67.0,16,40,4,4,1,3
58,19,8,64.0,11,18,2,4,3,2
59,19,8,64.0,11,18,2,4,3,2
60,2,2,18.0,3,11,2,4,3,4
61,2,2,18.0,3,11,2,4,3,4
62,8,1,13.0,3,7,0,0,3,2
63,8,1,13.0,3,7,0,0,3,2
64,5,4,35.0,5,6,4,3,3,2
65,5,4,35.0,5,6,4,3,3,2
66,5,7,13.0,1,4,2,4,3,2
67,5,7,13.0,1,4,2,4,3,2
68,30,6,56.0,38,61,6,3,2,3
69,30,6,56.0,38,61,6,3,2,3
70,18,8,17.0,21,34,6,4,3,2
71,18,8,17.0,21,34,6,4,3,2
72,38,6,73.0,43,80,9,4,3,5
73,38,6,73.0,43,80,9,4,3,5
74,24,4,78.0,38,59,6,4,3,4
75,24,4,78.0,38,59,6,4,3,4
76,17,5,70.0,24,31,6,2,3,3
77,17,5,70.0,24,31,6,2,3,3
78,11,9,40.0,9,16,3,0,3,3
79,11,9,40.0,9,16,3,0,3,3
80,24,5,89.0,27,40,3,1,3,2
81,24,5,89.0,27,40,3,1,3,2
82,15,6,71.0,13,20,0,0,3,2
83,15,6,71.0,13,20,0,0,3,2
84,7,2,61.0,8,14,2,2,3,2
85,7,2,61.0,8,14,2,2,3,2
86,0,3,52.0,0,10,4,4,3,2
87,0,3,52.0,0,10,4,4,3,2
88,0,5,55.0,11,17,4,2,3,3
89,0,5,55.0,11,17,4,2,3,3
90,3,3,52.0,6,9,0,2,3,3
91,3,3,52.0,6,9,0,2,3,3
92,3,6,51.0,6,11,2,2,3,3
93,3,6,51.0,6,11,2,2,3,3
94,3,7,50.0,4,11,4,1,3,2
95,3,7,50.0,4,11,4,1,3,2
96,47,9,130.0,59,85,5,4,3,4
97,47,9,130.0,59,85,5,4,3,4
98,45,9,98.0,47,61,7,1,3,4
99,45,9,98.0,47,61,7,1,3,4
100,47,5,80.0,57,98,8,3,3,4
101,47,5,80.0,57,98,8,3,3,4
102,32,7,70.0,43,71,5,4,3,4
103,32,7,70.0,43,71,5,4,3,4
104,27,5,80.0,31,43,4,2,3,2
105,27,5,80.0,31,43,4,2,3,2
106,24,8,72.0,19,30,2,3,3,3
107,24,8,72.0,19,30,2,3,3,3
108,33,8,79.0,46,92,10,4,3,4
109,33,8,79.0,46,92,10,4,3,4
110,16,7,90.0,43,82,10,4,3,3
111,16,7,90.0,43,82,10,4,3,3
112,36,7,93.0,60,92,7,4,3,6
113,36,7,93.0,60,92,7,4,3,6
114,33,7,95.0,43,77,8,3,3,6
115,33,7,95.0,43,77,8,3,3,6
116,0,5,3.0,3,9,0,2,3,2
117,0,5,3.0,3,9,0,2,3,2
118,0,5,3.0,3,9,0,2,3,2
119,39,4,56.0,3,8,3,0,3,3
120,39,4,56.0,3,8,3,0,3,3
121,39,4,56.0,3,8,3,0,3,3
122,14,4,48.0,1,6,4,2,3,3
123,14,4,48.0,1,6,4,2,3,3
124,14,4,48.0,1,6,4,2,3,3
125,0,5,33.0,1,0,0,3,3,2
126,0,5,33.0,1,0,0,3,3,2
